model_id,method,category,record_count,image_count,language_risk_mean,language_risk_standard_deviation,language_risk_median,language_risk_p25,language_risk_p75,visual_risk_mean,visual_risk_standard_deviation,visual_risk_median,visual_risk_p25,visual_risk_p75,total_semantic_risk_mean,total_semantic_risk_standard_deviation,total_semantic_risk_median,total_semantic_risk_p25,total_semantic_risk_p75,visual_gain_mean
M2-root-43102,M2,replace_relation,1219,677,0.44899876469431727,0.2477670183565155,0.44105844071091194,0.25810399600254486,0.6240802766668953,0.5001913333170428,0.015391517823586302,0.4999374412780232,0.49425104109584905,0.5063835987206525,0.4493814313284029,0.2490238144376655,0.4401057077662062,0.26372497092382147,0.6237215389322326,-0.0003826666340856784
M2-root-43102,M2,swap_atribute,585,518,0.47360471740767324,0.11410581548336722,0.4745043808789878,0.4109686020293788,0.5338189185075165,0.49970717255113034,0.008007234480572395,0.5001091864431042,0.4954944835228222,0.5044316290512985,0.4730190625099338,0.11428280048189311,0.47715196542569177,0.40634769600716547,0.5322243815249679,0.0005856548977393792
M2-root-43102,M2,swap_object,215,194,0.4916077175158514,0.10956141245818757,0.4900335361106692,0.44198195679533087,0.5671823752859362,0.49942777320341447,0.007528384866486438,0.5000193711896748,0.49531928421789695,0.5039000368931871,0.49046326392268036,0.10933104024806449,0.4889737864289189,0.4395640666156466,0.5677046444778255,0.001144453593171069
M2-root-43103,M2,replace_attribute,674,450,0.5125372748971394,0.25765410852165604,0.5150494429879882,0.32093239740710633,0.7004945373471448,0.5003810570848156,0.020439438635792038,0.5001248879086766,0.49244491228292964,0.508176104937587,0.5132993890667705,0.2593209006207605,0.5138520630496545,0.3279277845876729,0.6955265618029955,-0.0007621141696312544
M2-root-43103,M2,replace_object,1414,711,0.520692363697131,0.2516587376091986,0.53516379363904,0.34269469042595774,0.720993716375955,0.49935793408873363,0.01735370671668447,0.4992539802879203,0.49083500249878126,0.5067919303758104,0.5194082318745984,0.25438154989306744,0.5330535551710645,0.330749176458648,0.7183905718053012,0.0012841318225326039
M2-root-43103,M2,replace_relation,1219,677,0.44554448466457475,0.24691110820551004,0.43735996564890733,0.2602608875403407,0.6222817028022042,0.500326711559335,0.014918870429276272,0.5001805393643469,0.49363263529739554,0.5067142955921892,0.44619790778324453,0.24875025132920875,0.43792448324324235,0.2532724527953093,0.630409545737292,-0.00065342311866978
M2-root-43103,M2,swap_atribute,585,518,0.4788040878062403,0.10647845451577112,0.48334330356237304,0.4176076681351183,0.5347401312688355,0.49962531535885735,0.009383423912331714,0.49976008093161406,0.495158780925603,0.5044399463552054,0.47805471852395487,0.1067601420428936,0.48121348272191716,0.4191553799935288,0.5349700089699678,0.000749369282285414
M2-root-43103,M2,swap_object,215,194,0.4877141891373218,0.10647065336176857,0.5013149559385207,0.4300062252275469,0.5609042289269238,0.5012245736708291,0.008786023621144902,0.5009092166914143,0.4964090790006759,0.5047620482183184,0.4901633364789799,0.10708219840285213,0.49668807093460743,0.428789035854237,0.5567815464285955,-0.002449147341658152
M3-root-43101,M3,replace_attribute,674,450,0.4999613656184592,0.25532291883470704,0.4900456499903945,0.3256132785677016,0.6746673003379557,0.5003638748033147,0.0299112924245634,0.5000814700196881,0.48794238550216873,0.5134747207639906,0.5006891152250887,0.261181046932553,0.49728408728774554,0.29688006119335664,0.6932692070359066,-0.000727749606629495
M3-root-43101,M3,replace_object,1414,711,0.5204236282759197,0.25634468622028755,0.5388410865517677,0.3240104654080986,0.7106077157626371,0.5013878455827789,0.025548246760377598,0.5000653290288555,0.48913322488422906,0.5115340377906983,0.5231993194414775,0.2608390700187892,0.5301510979370287,0.33037820491597514,0.7228083135391002,-0.002775691165557812
M3-root-43101,M3,replace_relation,1219,677,0.45585625335503943,0.2502108140333029,0.45829271185565273,0.27109003011878574,0.6276716359279512,0.501155321594908,0.024133986341970635,0.5001793207043285,0.49053804833545495,0.5119273577939896,0.45816689654485565,0.251360349293776,0.4555190421643647,0.27810393912441855,0.6335934659567957,-0.0023106431898161973
M3-root-43101,M3,swap_atribute,585,518,0.47735694115403215,0.10863778786230294,0.4762643229898828,0.4146241881766081,0.5459929436417499,0.4990147068366484,0.013062323152145481,0.49881398100577673,0.49183855975412505,0.5065986294595388,0.47538635482732877,0.10795273717365675,0.47461107474846986,0.4191828252624239,0.5451789252225757,0.001970586326703347
M3-root-43101,M3,swap_object,215,194,0.4874425003700701,0.10973056267409798,0.4886961378073345,0.4328220334231045,0.5554116343177598,0.5020784476935628,0.011661614941560795,0.5010475566109941,0.49457076204326783,0.5086450363736739,0.4915993957571957,0.10959966611372096,0.49572639188618145,0.43455487227015843,0.5674330637948335,-0.004156895387125597
M3-root-43102,M3,replace_attribute,674,450,0.5100597499416096,0.26570727860714316,0.5135078768334068,0.3180255902810919,0.7106388782018617,0.5006040801487122,0.02757701473823259,0.5007805399284565,0.4889962287175616,0.5126851914086814,0.5112679102390338,0.269779784566096,0.5014909694840164,0.2987581278176374,0.7136537956619159,-0.001208160297424303
M3-root-43102,M3,replace_object,1414,711,0.524794057372024,0.25457231926372,0.531857412874577,0.3288613488509873,0.7126156491391513,0.5001997177308753,0.02263619526675999,0.49983134260892653,0.48968187769013094,0.5103083101070727,0.5251934928337746,0.25432354765135845,0.5309266294438941,0.3467927980665201,0.715453123196439,-0.0003994354617506602
M3-root-43102,M3,replace_relation,1219,677,0.4789913335049244,0.24568608578744291,0.48493036414026147,0.3157791433882572,0.6491714014108046,0.49906649529683245,0.020369373546908875,0.49934773356179507,0.48969523838039375,0.5082488120103413,0.4771243240985893,0.24900544630294205,0.48273058163244836,0.30224299829412615,0.6534338519456394,0.001867009406335126
M3-root-43102,M3,swap_atribute,585,518,0.4747420548852519,0.11150358769965031,0.47569670238143846,0.41439146279869066,0.5457596133857938,0.5005830937870682,0.012146884381964675,0.5006672438834188,0.4943328937363699,0.5071763248489949,0.47590824245938845,0.1126822158580739,0.4759666414514007,0.41290192044922835,0.5464386395733637,-0.0011661875741365369
M3-root-43102,M3,swap_object,215,194,0.4950721982986717,0.1113561667619377,0.5028545762758911,0.4237532088236827,0.5601305406902326,0.5001967689691211,0.012377416713706627,0.5007408985592694,0.4943814185219847,0.5077594474957647,0.4954657362369141,0.11149528783274992,0.5028576370398062,0.4356756179104092,0.5730918850538309,-0.0003935379382423633
