model_id,budget,method,mapping_root,category,record_count,image_count,language_risk_mean,language_risk_standard_deviation_population,visual_risk_mean,visual_risk_standard_deviation_population,total_semantic_risk_mean,total_semantic_risk_standard_deviation_population,visual_gain_mean,visual_gain_standard_deviation_population
M3-current-seed-43102,current,M3,43102,replace_relation,1219,677,0.4789913335049244,0.24568608578744291,0.49906649529683245,0.020369373546908875,0.4771243240985893,0.24900544630294205,0.001867009406335126,0.04073874709381775
M3-current-seed-43102,current,M3,43102,swap_atribute,585,518,0.4747420548852519,0.11150358769965031,0.5005830937870682,0.012146884381964675,0.47590824245938845,0.1126822158580739,-0.0011661875741365369,0.02429376876392935
M3-current-seed-43102,current,M3,43102,swap_object,215,194,0.4950721982986717,0.1113561667619377,0.5001967689691211,0.012377416713706627,0.4954657362369141,0.11149528783274992,-0.0003935379382423633,0.02475483342741325
M2-current-seed-43103,current,M2,43103,replace_attribute,674,450,0.5125372748971394,0.25765410852165604,0.5003810570848156,0.020439438635792038,0.5132993890667705,0.2593209006207605,-0.0007621141696312544,0.040878877271584076
M2-current-seed-43103,current,M2,43103,replace_object,1414,711,0.520692363697131,0.2516587376091986,0.49935793408873363,0.01735370671668447,0.5194082318745984,0.25438154989306744,0.0012841318225326039,0.034707413433368944
M2-current-seed-43103,current,M2,43103,replace_relation,1219,677,0.44554448466457475,0.24691110820551004,0.500326711559335,0.014918870429276272,0.44619790778324453,0.24875025132920875,-0.00065342311866978,0.029837740858552543
M2-current-seed-43103,current,M2,43103,swap_atribute,585,518,0.4788040878062403,0.10647845451577112,0.49962531535885735,0.009383423912331714,0.47805471852395487,0.1067601420428936,0.000749369282285414,0.018766847824663428
M2-current-seed-43103,current,M2,43103,swap_object,215,194,0.4877141891373218,0.10647065336176857,0.5012245736708291,0.008786023621144902,0.4901633364789799,0.10708219840285213,-0.002449147341658152,0.0175720472422898
M3-current-seed-43103,current,M3,43103,replace_attribute,674,450,0.4927560634213822,0.2655959818784483,0.4999790224664763,0.02443417291491514,0.49271410835433477,0.2679468258839145,4.195506704738887e-05,0.04886834582983029
M3-current-seed-43103,current,M3,43103,replace_object,1414,711,0.523994174381743,0.26712074633620153,0.4999924692303073,0.018677274375473913,0.5239791128423577,0.2696391986067401,1.5061539385272495e-05,0.037354548750947826
M3-current-seed-43103,current,M3,43103,replace_relation,1219,677,0.44881334416989654,0.24694418601345022,0.4996705185158978,0.017812890545908414,0.4481543812016921,0.2487372427235522,0.0006589629682044567,0.03562578109181683
M3-current-seed-43103,current,M3,43103,swap_atribute,585,518,0.4721939242354499,0.11284445494311524,0.49972651332448614,0.011235125994179453,0.47164695088442216,0.1127009870864347,0.0005469733510277857,0.02247025198835891
M3-current-seed-43103,current,M3,43103,swap_object,215,194,0.4918742924235955,0.10383250910079875,0.5012104175721341,0.010496116312602236,0.49429512756786387,0.10690489939257548,-0.0024208351442683643,0.020992232625204468
M2-high-seed-43101,high,M2,43101,replace_attribute,674,450,0.5057918424865891,0.2564560352955297,0.49975151801156226,0.02528039628288294,0.5052948785097137,0.256077278483012,0.0004969639768754901,0.05056079256576588
M2-high-seed-43101,high,M2,43101,replace_object,1414,711,0.520613641578672,0.23935217309147477,0.499529295625586,0.02270921819713957,0.5196722328298439,0.2416766492824562,0.0009414087488280287,0.04541843639427914
M2-high-seed-43101,high,M2,43101,replace_relation,1219,677,0.4457652284202093,0.24974820768348713,0.49930890832355607,0.018976108283858963,0.4443830450673215,0.25102049273335253,0.0013821833528878768,0.037952216567717925
M2-high-seed-43101,high,M2,43101,swap_atribute,585,518,0.47765390551734044,0.10612937101059093,0.5006669609023475,0.009167548750015173,0.47898782732203554,0.10713611497361027,-0.0013339218046950977,0.018335097500030345
M2-high-seed-43101,high,M2,43101,swap_object,215,194,0.4897904661256671,0.1015958451974168,0.5003561968898413,0.009484095782716294,0.4905028599053499,0.10007691534423295,-0.0007123937796827944,0.018968191565432592
M3-high-seed-43101,high,M3,43101,replace_attribute,674,450,0.5085188780287211,0.26708943999284085,0.49963393357427477,0.021035225740319987,0.5077867451772707,0.26904619953579956,0.0007321328514503595,0.04207045148063998
M3-high-seed-43101,high,M3,43101,replace_object,1414,711,0.5270530598684697,0.2605710269609978,0.5003971228686166,0.016407092551346564,0.5278473056057029,0.2622247160999585,-0.0007942457372332587,0.03281418510269313
M3-high-seed-43101,high,M3,43101,replace_relation,1219,677,0.44130811345417525,0.24971841107734705,0.5001864379766707,0.014168190089643614,0.44168098940751666,0.24863741405001777,-0.0003728759533414225,0.028336380179287225
M3-high-seed-43101,high,M3,43101,swap_atribute,585,518,0.47612474578911607,0.1119153656908227,0.5004423049355708,0.009306509638018538,0.477009355660258,0.11345210298481069,-0.0008846098711418925,0.01861301927603708
M3-high-seed-43101,high,M3,43101,swap_object,215,194,0.4934031370311392,0.09720748654616615,0.5001401685320703,0.009751002000856832,0.49368347409527985,0.09704006901708749,-0.0002803370641406671,0.01950200400171366
M2-high-seed-43102,high,M2,43102,replace_attribute,674,450,0.4988404847636225,0.2632110857039272,0.5012376508850195,0.02111702383100135,0.5013157865336614,0.26340811932186736,-0.002475301770038915,0.0422340476620027
M2-high-seed-43102,high,M2,43102,replace_object,1414,711,0.5184175684595954,0.2503065694375948,0.5009827462083722,0.019631441864586305,0.52038306087634,0.2504941408484611,-0.0019654924167445856,0.0392628837291726
M2-high-seed-43102,high,M2,43102,replace_relation,1219,677,0.4312110095793413,0.2411518474033888,0.4995007002621451,0.01615195844388683,0.4302124101036314,0.2430321294747785,0.0009985994757099052,0.03230391688777366
M2-high-seed-43102,high,M2,43102,swap_atribute,585,518,0.4781667096912014,0.10799606602304526,0.49911164233289945,0.008281397172094912,0.4763899943570003,0.10857196273585301,0.0017767153342010905,0.016562794344189828
M2-high-seed-43102,high,M2,43102,swap_object,215,194,0.4918081572487747,0.09929870662238004,0.49989165703650046,0.009002370790870238,0.49159147132177555,0.10295098680082852,0.00021668592699910412,0.018004741581740483
M3-high-seed-43102,high,M3,43102,replace_attribute,674,450,0.5017481286342963,0.26155539076086337,0.5005925720425639,0.024105102693236215,0.5029332727194241,0.2626821998095998,-0.0011851440851278455,0.04821020538647243
M3-high-seed-43102,high,M3,43102,replace_object,1414,711,0.520211089814462,0.24840901704361265,0.5007327711214439,0.022338453574780863,0.5216766320573497,0.25354346303531533,-0.0014655422428877672,0.044676907149561726
M3-high-seed-43102,high,M3,43102,replace_relation,1219,677,0.4539356198789427,0.2439952862129524,0.5009066052751342,0.018131915021203815,0.45574883042921116,0.24672076219625783,-0.0018132105502685055,0.03626383004240763
M3-high-seed-43102,high,M3,43102,swap_atribute,585,518,0.4784400627378033,0.10609044813169909,0.4992770556777812,0.01085790588623561,0.4769941740933657,0.1089162734846927,0.0014458886444375786,0.02171581177247122
M3-high-seed-43102,high,M3,43102,swap_object,215,194,0.48964285260628976,0.1032951521525927,0.5005254482472455,0.00976108011916785,0.49069374910078084,0.1010806213960503,-0.0010508964944910353,0.0195221602383357
M2-high-seed-43103,high,M2,43103,replace_attribute,674,450,0.5066903617611406,0.26552418073417655,0.501320539410771,0.017065485909236417,0.5093314405826826,0.2678766530810531,-0.0026410788215420282,0.034130971818472834
M2-high-seed-43103,high,M2,43103,replace_object,1414,711,0.5294014545454033,0.2602434846142406,0.49847635529532125,0.01678479532838611,0.5263541651360457,0.25829672466425746,0.0030472894093575903,0.033569590656772216
M2-high-seed-43103,high,M2,43103,replace_relation,1219,677,0.4455264856536855,0.24688327462427312,0.4996163728460814,0.014362886434542135,0.4447592313458483,0.2485931393631967,0.0007672543078371469,0.02872577286908427
M2-high-seed-43103,high,M2,43103,swap_atribute,585,518,0.4759309781835518,0.11250893683482072,0.4995404539606698,0.009645840226396592,0.4750118861048915,0.11319290198546096,0.0009190920786603417,0.01929168045279318
M2-high-seed-43103,high,M2,43103,swap_object,215,194,0.49846929264584927,0.10830221347530508,0.4999319097838052,0.008304871109738435,0.4983331122134598,0.10905328575618163,0.00013618043238950727,0.016609742219476874
M3-high-seed-43103,high,M3,43103,replace_attribute,674,450,0.5029793658218595,0.26128394515153713,0.5029209572346419,0.02225061220305861,0.5088212802911433,0.2659646702645059,-0.005841914469283783,0.04450122440611722
M3-high-seed-43103,high,M3,43103,replace_object,1414,711,0.5241774722543581,0.2561057997059181,0.4985705569199655,0.019652065436432855,0.521318586094289,0.25886492659501575,0.002858886160069042,0.03930413087286571
M3-high-seed-43103,high,M3,43103,replace_relation,1219,677,0.45358636560420595,0.24349608716110016,0.4995478370622392,0.018676521425745073,0.4526820397286845,0.24564731274226145,0.000904325875521519,0.037353042851490145
M3-high-seed-43103,high,M3,43103,swap_atribute,585,518,0.47404549396568674,0.10712669166022767,0.4995299145673746,0.009363242270876372,0.47310532310043596,0.10880323367018446,0.0009401708652507495,0.018726484541752745
M3-high-seed-43103,high,M3,43103,swap_object,215,194,0.4889380776818316,0.09726192279630276,0.49986018154896206,0.01079518694465375,0.48865844077975573,0.09792687156548549,0.00027963690207593954,0.0215903738893075
